Genero,Especie,Muestra,Stem_length,Stem_diameter_cm,Microscopio,Aumento,Rayitas_dv,Diametro_de_vaso,Aumento,Rayitas_gpv,Grosor_pared_vaso,Rayitas_diam_fibra,Diametro_Fibras,Rayitas_gpf,Grosor_pared_fibras,Rayitas_dp,Diametro_parenquima
Euphorbia,coalcomanensis,883,300,5,,40x,34,68,100x,5,1.6,20,,2,1.6,20,16
Euphorbia,coalcomanensis,883,300,5,,40x,45,90,100x,4,1.6,23,,3,2.4,25,20
Euphorbia,coalcomanensis,883,300,5,,40x,32,64,100x,4,1.6,19,,2,1.6,23,18.4
Euphorbia,tehuacana,981,200,2.5,,100x,49,39.2,100x,3,1.6,11,,4,3.2,20,16
Euphorbia,tehuacana,981,200,2.5,,100x,32,25.6,100x,3,1.6,11,,2,1.6,24,19.2
Euphorbia,tehuacana,981,200,2.5,,100x,37,29.6,100x,4,1.6,13,,4,3.2,15,12
Euphorbia,tehuacana,981,200,2.5,,100x,35,28,100x,2,1.6,13,,4,3.2,23,18.4
Euphorbia,tehuacana,981,200,2.5,,100x,30,24,100x,2,1.6,14,,4,3.2,17,13.6
Euphorbia,tehuacana,981,200,2.5,,100x,60,48,100x,2,1.6,11,,4,3.2,25,20
Euphorbia,tehuacana,981,200,2.5,,100x,62,49.6,100x,3,1.6,11,,3,2.4,15,12
Euphorbia,tehuacana,981,200,2.5,,100x,57,45.6,100x,3,1.6,15,,4,3.2,20,16
Euphorbia,tehuacana,981,200,2.5,,100x,42,33.6,100x,2,1.6,15,,5,4,16,12.8
Euphorbia,tehuacana,981,200,2.5,,100x,50,40,100x,2,1.6,12,,2,1.6,23,18.4
Euphorbia,tehuacana,981,200,2.5,,100x,47,37.6,100x,3,1.6,15,,3,2.4,25,20
Euphorbia,tehuacana,981,200,2.5,,100x,42,33.6,100x,2,1.6,16,,4,3.2,20,16
Euphorbia,tehuacana,981,200,2.5,,100x,42,33.6,100x,3,1.6,15,,4,3.2,26,20.8
Euphorbia,tehuacana,981,200,2.5,,100x,33,26.4,100x,2,1.6,15,,3,2.4,23,18.4
Euphorbia,tehuacana,981,200,2.5,,100x,42,33.6,100x,2,1.6,20,,2,1.6,24,19.2
Euphorbia,tehuacana,981,200,2.5,,100x,32,25.6,100x,2,1.6,16,,3,2.4,23,18.4
Euphorbia,tehuacana,981,200,2.5,,100x,45,36,100x,2,1.6,15,,3,2.4,22,17.6
Euphorbia,tehuacana,981,200,2.5,,100x,45,36,100x,2,1.6,15,,3,2.4,23,18.4
Euphorbia,tehuacana,981,200,2.5,,100x,36,28.8,100x,2,1.6,18,,3,2.4,25,20
Euphorbia,tehuacana,981,200,2.5,,100x,45,36,100x,2,1.6,19,,3,2.4,19,15.2
Euphorbia,tehuacana,981,200,2.5,,100x,60,48,100x,2,1.6,16,,3,2.4,20,16
Euphorbia,tehuacana,981,200,2.5,,100x,48,38.4,100x,2,1.6,17,,4,3.2,20,16
Euphorbia,tehuacana,981,200,2.5,,100x,40,32,100x,3,1.6,15,,4,3.2,23,18.4
Euphorbia,tehuacana,981,200,2.5,,100x,45,36,100x,2,1.6,19,,4,3.2,24,19.2
Euphorbia,tehuacana,981,200,2.5,,100x,53,42.4,100x,2,1.6,16,,2,1.6,26,20.8
Euphorbia,tehuacana,981,200,2.5,,100x,55,44,100x,3,1.6,14,,3,2.4,24,19.2
Euphorbia,tehuacana,981,200,2.5,,100x,39,31.2,100x,4,1.6,18,,4,3.2,30,24
Euphorbia,tehuacana,981,200,2.5,,100x,46,36.8,100x,2,1.6,18,,3,2.4,25,20
Euphorbia,tehuacana,981,200,2.5,,100x,57,45.6,100x,3,1.6,19,,3,2.4,25,20
Euphorbia,tehuacana,981,200,2.5,,100x,45,36,100x,3,1.6,14,,4,3.2,23,18.4
Euphorbia,calcarata,939,,,,100x,78,62.4,100x,2,1.6,15,,3,2.4,32,25.6
Euphorbia,calcarata,939,,,,100x,84,67.2,100x,2,1.6,20,,2,1.6,25,20
Euphorbia,calcarata,939,,,,100x,73,58.4,100x,3,1.6,22,,2,1.6,23,18.4
Euphorbia,calcarata,939,,,,100x,93,74.4,100x,3,1.6,14,,2,1.6,24,19.2
Euphorbia,calcarata,939,,,,100x,57,45.6,100x,2,1.6,12,,1,0.8,28,22.4
Euphorbia,calcarata,939,,,,100x,85,68,100x,2,1.6,13,,1,0.8,25,20
Euphorbia,calcarata,939,,,,100x,86,68.8,100x,3,1.6,15,,1,0.8,30,24
Euphorbia,calcarata,939,,,,100x,91,72.8,100x,3,1.6,20,,2,1.6,22,17.6
Euphorbia,calcarata,939,,,,100x,90,72,100x,3,1.6,12,,2,1.6,24,19.2
Euphorbia,calcarata,939,,,,100x,94,75.2,100x,2,1.6,9,,2,1.6,16,12.8
Euphorbia,calcarata,939,,,,100x,95,76,100x,4,1.6,13,,2,1.6,29,23.2
